Enterobacterales,Pseudomonas,S. maltophilia,Acinetobacter,Staphylococcus,Enterococcus,"Streptococcus A,B,C,G",S. pneumoniae,Viridans group Streptococci,H. influenzae,M. catarrhalis,N. gonorrheae,N. meningitidis,Bacteroides,Prevotella,F. necrophorum,C. perfringens,C. acnes,C. difficile,H. pylori,L. monocytogenes,Pasteurella,Campylobacter jejuni and coli,Corynebacterium,Corynebacterium diphteriae and ulcerans,Aerococcus sanguinicola and urinae,K. kingae,Aeromonas,A. xylosoxidans,Vibrio,Bacillus,B. pseudomallei,Candida and Cryptococcus,Aspergillus
Salmonella enterica Ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Agodi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Agona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Agoueve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ahanou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ahepe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ahmadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ahoutoue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ahuza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ajiobo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Akanji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Akuafo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Alachua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Alagbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Alamo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Albany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Albert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Albertbanjul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Albertslund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Albuquerque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Alexanderplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Alexanderpolder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Alfort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Alger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Alkmaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Allandale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Allerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Alma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Alminko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Alpenquai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Altendorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Amager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Amberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Amersfoort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Amherstiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Amina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Aminatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Amounderness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Amoutive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Amunigun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Anderlecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Anecho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Anfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Angers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Angoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Angouleme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Anna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Annedal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Antsalova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Antwerpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Apapa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Apeyeme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Aprad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Aqua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Aragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Arapahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Arechavaleta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Argenteuil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Arusha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Aschersleben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ashanti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Assen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Assinie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Astridplein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Asylanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Atakpame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Atento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Athens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Athinai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Augustenborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Aurelianis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Avignon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Avonmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Axim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ayinde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Azteca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Babelsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Babili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Badagry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Baguida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Baguirmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bahati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bahrenfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Baiboukoum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Baildon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bakau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Balcones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bamboye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bambylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Banalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Banana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Banco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bandia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bandim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bangkok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bangui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Banjul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bareilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bargny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Barmbek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Barranquilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Barry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Basingstoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bassa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bassadji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Batonrouge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Battle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bazenheid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Beaudesert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bedford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Belem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Belfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bellevue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Benfica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Benguella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Benue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bergedorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bergen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bergues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Berta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bessi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bethune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Biafra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bietri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bignona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bijlmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bilu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Binche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bingerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Binningen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bispebjerg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Blancmesnil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Blegdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Blijdorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Blitta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Blockley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bloomsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Blukwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bobo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bochum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bodjonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Boecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bofflens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bokanjac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bolama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bolombo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bolton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bonariensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bootle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Borbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Borreze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Borromea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bouake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bousso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bovismorbificans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brackenridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bracknell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bradford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Braenderup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brancaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brazos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brazzaville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Breda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bredeney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brefet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Breukelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brevik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brezany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brijbhumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brikama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brindisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bristol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Broc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Broughton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bruck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bruebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Brunflo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bsilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Buckeye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Budapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bukavu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bukuru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bullbay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bulovka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Burgas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Bury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Butantan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Butare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Buzu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Caen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cairina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cairns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Calabar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Camberene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Camberwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Campinense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Canary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cannobio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cannonhill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cannstatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Canton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Caracas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cardoner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Carmel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Carnac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Carno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Carpentras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Carrau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Carswell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Casablanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Casamance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Catalunia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Catanzaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Catumagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cayar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cerro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ceyco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Chagoua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Chailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Champaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Chandans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Charity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Charlottenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Chartres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cheltenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Chennai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Chichester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Chichiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Chincol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Chingola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Chiredzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Chittagong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Chomedey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Christiansborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Clackamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Claibornei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Clanvillian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Clerkenwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cleveland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Clontarf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cochin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cochise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Cocody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Coeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Coleypark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Colindale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Colobane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Colombo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Concord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Coogee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Coquilhatville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
